point;polygon
(-123.12365339959302, 49.28486355788119);((-123.12355486054715, 49.28454711955035), (-123.12316840694852, 49.28480210453065), (-123.12375237487221, 49.2851801774034), (-123.12413811225144, 49.28492474149761), (-123.12355486054715, 49.28454711955035))
(-123.12443709105067, 49.28537197473215);((-123.1243352609569, 49.285053349412905), (-123.12394902855053, 49.28530877750693), (-123.12453886197534, 49.28569060906046), (-123.12492517674568, 49.28543515193734), (-123.1243352609569, 49.285053349412905))
(-123.12401979855106, 49.283009119325726);((-123.12451007494218, 49.283006534016536), (-123.12401812678412, 49.282688462888366), (-123.12352972547417, 49.283011652021564), (-123.12402111018655, 49.28332981576767), (-123.1244071209857, 49.28307456748258), (-123.12451007494218, 49.283006534016536))
(-123.12378574369022, 49.28222274385909);((-123.12376978582594, 49.282467285886185), (-123.124159497288, 49.282209506779665), (-123.1238014100811, 49.281978274150255), (-123.12341213809127, 49.28223586269134), (-123.12376978582594, 49.282467285886185))
(-123.12520308718939, 49.2824516921711);((-123.12576527033038, 49.28256233315008), (-123.12497857565174, 49.282052998214), (-123.12464777227736, 49.28227193835088), (-123.12467806937676, 49.282290786542845), (-123.12468784782116, 49.28229716256783), (-123.12469762649492, 49.2823036285435), (-123.12470740517125, 49.28231009451835), (-123.12471704635229, 49.28231656064075), (-123.12472655026482, 49.282323116862294), (-123.12473605440677, 49.28232976303458), (-123.12474555832438, 49.282336319254526), (-123.1247549252004, 49.28234305552521), (-123.12476429185206, 49.28234970184358), (-123.1247735212352, 49.28235643826119), (-123.12478275084784, 49.28236326462958), (-123.12479184296504, 49.282370091145715), (-123.12480093508474, 49.282376917661125), (-123.12480988993593, 49.28238383427585), (-123.12481884478962, 49.28239075088988), (-123.12482766214775, 49.282397667651736), (-123.12483647973542, 49.282404674364436), (-123.12484529732558, 49.282411681076454), (-123.12485397764719, 49.282418777887884), (-123.12486252047316, 49.28242587484723), (-123.12487106352867, 49.282433061757445), (-123.12487960635957, 49.28244015871551), (-123.12488801214903, 49.282447435724585), (-123.12489628021551, 49.28245462293013), (-123.12490454851162, 49.2824619000866), (-123.12491281681017, 49.28246917724247), (-123.12492094784007, 49.28247654449792), (-123.12492894137405, 49.28248391190142), (-123.12493693491047, 49.28249127930436), (-123.12494492867648, 49.28249873665827), (-123.12495278494656, 49.282506194160305), (-123.12496050394789, 49.28251374176201), (-123.1249682229516, 49.28252128936319), (-123.1249758044592, 49.28252883711255), (-123.12498338596913, 49.2825363848614), (-123.12499096770874, 49.28254402256127), (-123.12499841195215, 49.28255166040937), (-123.12500571892674, 49.282559388357235), (-123.12501302567624, 49.282567026353135), (-123.1250201953842, 49.28257484440034), (-123.12502736486702, 49.28258257249558), (-123.12503439708094, 49.28259039069067), (-123.12504142929706, 49.282598208885325), (-123.12504832401673, 49.282606027228326), (-123.12505508146741, 49.28261393567125), (-123.12506183892022, 49.28262184411374), (-123.12506859637521, 49.282629752555856), (-123.12507521656111, 49.28263775109789), (-123.1250816992504, 49.28264574978839), (-123.12508818194182, 49.282653748478495), (-123.12509452736403, 49.28266183726862), (-123.12510087256076, 49.282669836106834), (-123.12510708048828, 49.28267792504511), (-123.12511328864541, 49.282686103934545), (-123.1251193590781, 49.28269419302099), (-123.12512529224144, 49.282702372207524), (-123.12513122540676, 49.28271055139374), (-123.12513715880164, 49.28271882053115), (-123.12514295469954, 49.28272708981716), (-123.12514861287274, 49.282735269300275), (-123.12515427150309, 49.282743628686134), (-123.12515979240862, 49.282751898269105), (-123.1251651760446, 49.28276025795227), (-123.12517055968242, 49.28276861763516), (-123.12517594332206, 49.28277697731779), (-123.12518105196523, 49.28278533729807), (-123.12518629833697, 49.282793787080664), (-123.12519128346207, 49.28280223714606), (-123.12519625483893, 49.2828106872261), (-123.1252012262175, 49.282819137305935), (-123.12537858304687, 49.28281758673197), (-123.12576527033038, 49.28256233315008))
(-123.12780362585058, 49.27956688042669);((-123.12812970167032, 49.279585083598725), (-123.12777201371604, 49.27935388071626), (-123.12747754475556, 49.27954867279948), (-123.12783524651783, 49.27977988556555), (-123.12812970167032, 49.279585083598725))
(-123.12830053441249, 49.27923816391774);((-123.12860821216042, 49.27926854225632), (-123.12825051051534, 49.27903734085757), (-123.12799285704564, 49.27920778841471), (-123.12835055872208, 49.27943899060417), (-123.12860821216042, 49.27926854225632))
(-123.12876943452235, 49.27908390295987);((-123.12893947236174, 49.279049392252595), (-123.12858178450588, 49.27881819185518), (-123.12825051051534, 49.27903734085757), (-123.12860821216042, 49.27926854225632), (-123.12893947236174, 49.279049392252595))
(-123.13114764230289, 49.27736397555993);((-123.13170257045326, 49.27721874230647), (-123.1313239773792, 49.27697414433689), (-123.1308086704283, 49.277315178644805), (-123.13072491277389, 49.2778657607818), (-123.13170257045326, 49.27721874230647))
(-123.13114764230289, 49.27736397555993);((-123.13170257045326, 49.27721874230647), (-123.1313239773792, 49.27697414433689), (-123.1308086704283, 49.277315178644805), (-123.13072491277389, 49.2778657607818), (-123.13170257045326, 49.27721874230647))
