OID_, id,area,address,unit,civic_number,street,address_above_door,business_name,retailgroup,floor_area_sf,year_recorded
283,312,Broadway Corridor - Arbutus Area,2295 W BROADWAY,N/A,2295,W BROADWAY,2295 W BROADWAY,Popeyes Supplements,Convenience Goods,2958,2022
284,313,Broadway Corridor - Arbutus Area,2299 W BROADWAY,N/A,2299,W BROADWAY,2299 W BROADWAY,Novus Glass,Automotive Goods & Services,2000,2022
285,314,Broadway Corridor - Arbutus Area,2300 W BROADWAY,N/A,2300,W BROADWAY,2300 W BROADWAY,Platform 7 Coffee,Food & Beverage,2500,2022
286,315,Broadway Corridor - Arbutus Area,2306 W BROADWAY,N/A,2306,W BROADWAY,2306 W BROADWAY,Tanglewood Books,Comparison Goods,1200,2022
287,316,Broadway Corridor - Arbutus Area,2308 W BROADWAY,N/A,2308,W BROADWAY,2308 W BROADWAY,Valentino's Barbershop,Service Commercial,1200,2022
288,317,Broadway Corridor - Arbutus to Fir,2502 MAPLE ST,N/A,2502,MAPLE ST,2502 MAPLE ST,Maple Blenz Coffee,Food & Beverage,2500,2022
289,318,Broadway Corridor - Arbutus to Fir,1601 W BROADWAY,N/A,1601,W BROADWAY,1601 W BROADWAY,Earls,Food & Beverage,8050,2022
290,319,Broadway Corridor - Arbutus to Fir,1606 W BROADWAY,N/A,1606,W BROADWAY,1606 W BROADWAY,Kohler,Comparison Goods,5000,2022
291,320,Broadway Corridor - Arbutus to Fir,1616 W BROADWAY,N/A,1616,W BROADWAY,1616 W BROADWAY,Suika,Food & Beverage,2000,2022
292,321,Broadway Corridor - Arbutus to Fir,1627 W BROADWAY,N/A,1627,W BROADWAY,1627 W BROADWAY,Storm Crow Ale House,Food & Beverage,4500,2022
293,322,Broadway Corridor - Arbutus to Fir,1630 W BROADWAY,N/A,1630,W BROADWAY,1630 W BROADWAY,My Forno Pizza,Food & Beverage,2000,2022
294,323,Broadway Corridor - Arbutus to Fir,1635 W BROADWAY,N/A,1635,W BROADWAY,1635 W BROADWAY,Georgia Straight,Service Commercial,6500,2022
295,324,Broadway Corridor - Arbutus to Fir,1636 W BROADWAY,N/A,1636,W BROADWAY,1636 W BROADWAY,Manila Express,Service Commercial,1200,2022
296,325,Broadway Corridor - Arbutus to Fir,1640 W BROADWAY,N/A,1640,W BROADWAY,1640 W BROADWAY,QQ Sushi,Food & Beverage,1000,2022
297,326,Broadway Corridor - Arbutus to Fir,1643 W BROADWAY,N/A,1643,W BROADWAY,1643 W BROADWAY,Beijing Roast Duck,Food & Beverage,3600,2022
299,328,Broadway Corridor - Arbutus to Fir,1668 W BROADWAY,101,1668,W BROADWAY,1668 W BROADWAY,Tai Chi Feet,Service Commercial,1800,2022
300,329,Broadway Corridor - Arbutus to Fir,1668 W BROADWAY,102,1668,W BROADWAY,1668 W BROADWAY,Boba Boy,Food & Beverage,1080,2022
301,330,Broadway Corridor - Arbutus to Fir,1668 W BROADWAY,103,1668,W BROADWAY,1668 W BROADWAY,Christian Science Reading,Comparison Goods,2400,2022
302,331,Broadway Corridor - Arbutus to Fir,1668 W BROADWAY,104,1668,W BROADWAY,1668 W BROADWAY,FYI Doctors,Service Commercial,2500,2022
303,332,Broadway Corridor - Arbutus to Fir,1668 W BROADWAY,107,1668,W BROADWAY,1668 W BROADWAY,Monet Floral Art,Convenience Goods,1200,2022
304,333,Broadway Corridor - Arbutus to Fir,1668 W BROADWAY,108,1668,W BROADWAY,1668 W BROADWAY,Royal Nails,Service Commercial,1000,2022
305,334,Broadway Corridor - Arbutus to Fir,1678 W BROADWAY,N/A,1678,W BROADWAY,1678 W BROADWAY,Offices,Non-retail,2000,2022
306,335,Broadway Corridor - Arbutus to Fir,1687 W BROADWAY,102,1687,W BROADWAY,1687 W BROADWAY,Infofit,Service Commercial,5500,2022
307,336,Broadway Corridor - Arbutus to Fir,1690 W BROADWAY,N/A,1690,W BROADWAY,1690 W BROADWAY,Simply Computing,Comparison Goods,4500,2022
308,337,Broadway Corridor - Arbutus to Fir,1701 W BROADWAY,N/A,1701,W BROADWAY,1701 W BROADWAY,RGF Wealth Management,Service Commercial,2700,2022
309,338,Broadway Corridor - Arbutus to Fir,1702 W BROADWAY,N/A,1702,W BROADWAY,1702 W BROADWAY,Vacant,Vacant,9769,2022
310,339,Broadway Corridor - Arbutus to Fir,1711 W BROADWAY,N/A,1711,W BROADWAY,1711 W BROADWAY,Infinity Health & Cosmetics,Convenience Goods,3000,2022
311,340,Broadway Corridor - Arbutus to Fir,1727 W BROADWAY,100,1727,W BROADWAY,1727 W BROADWAY,The Pilates Collective,Entertainment and Leisure,883,2022
312,341,Broadway Corridor - Arbutus to Fir,1727 W BROADWAY,102,1727,W BROADWAY,1727 W BROADWAY,Berton College,Service Commercial,3000,2022
313,342,Broadway Corridor - Arbutus to Fir,1727 W BROADWAY,N/A,1727,W BROADWAY,1727 W BROADWAY,Chris Hacker Dentist ,Service Commercial,1000,2022
314,343,Broadway Corridor - Arbutus to Fir,1740 W BROADWAY,N/A,1740,W BROADWAY,1740 W BROADWAY,Bed Bath & Beyond,Comparison Goods,26400,2022
315,344,Broadway Corridor - Arbutus to Fir,1750 W BROADWAY,N/A,1750,W BROADWAY,1750 W BROADWAY,Vacant,Vacant,2203,2022
316,345,Broadway Corridor - Arbutus to Fir,1754 W BROADWAY,N/A,1754,W BROADWAY,1754 W BROADWAY,Vacant,Vacant,2000,2022
